date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:06	8465/8465	---M-Z	200	added ('OK')	text/html	etag:%22d28b00ac48c842bc256e7fe899d1988e-ssl-df%22	https://mintconnectw.netlify.app/	C:/Users/Sultan/Desktop/Blockchain/mintconnectw.netlify.app/index.html	(from )
14:00:06	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1658303395-ssl-df	https://mintconnectw.netlify.app/robots.txt		(from )
14:00:09	6045/6045	---M--	200	added ('OK')	image/png	etag:%22f39a1435d850e4787eb13d36d0a12689-ssl%22	https://mintconnectw.netlify.app/assets/logo.png	C:/Users/Sultan/Desktop/Blockchain/mintconnectw.netlify.app/assets/logo.png	(from https://mintconnectw.netlify.app/)
14:00:12	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2030%20Aug%202022%2021:00:07%20GMT	https://kit.fontawesome.com/78d167673c.js	C:/Users/Sultan/Desktop/Blockchain/kit.fontawesome.com/78d167673c.js	(from https://mintconnectw.netlify.app/)
14:00:13	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/Users/Sultan/Desktop/Blockchain/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://mintconnectw.netlify.app/)
14:00:14	23848/23848	---MCZ	200	added ('OK')	text/css	etag:%22e0cfac347c1c9e83b914a92ac17ba26b-ssl-df%22	https://mintconnectw.netlify.app/style/animation/2.6%20animate.css.css	C:/Users/Sultan/Desktop/Blockchain/mintconnectw.netlify.app/style/animation/2.6%20animate.css.css	(from https://mintconnectw.netlify.app/)
14:00:16	4001/4001	---MCZ	200	added ('OK')	text/css	etag:%22e9b93a8b3974cd28cb3082f6cedd5372-ssl-df%22	https://mintconnectw.netlify.app/style/index.css	C:/Users/Sultan/Desktop/Blockchain/mintconnectw.netlify.app/style/index.css	(from https://mintconnectw.netlify.app/)
14:00:17	8465/8465	---MCZ	200	added ('OK')	text/html	etag:%22d28b00ac48c842bc256e7fe899d1988e-ssl-df%22	https://mintconnectw.netlify.app/index.html	C:/Users/Sultan/Desktop/Blockchain/mintconnectw.netlify.app/index-2.html	(from https://mintconnectw.netlify.app/)
14:00:18	5892/5892	---MCZ	200	added ('OK')	text/html	etag:%2204bcbe1fe00fabae8981f5ef108c3188-ssl-df%22	https://mintconnectw.netlify.app/menu.html	C:/Users/Sultan/Desktop/Blockchain/mintconnectw.netlify.app/menu.html	(from https://mintconnectw.netlify.app/)
14:00:20	436339/436339	---M--	200	added ('OK')	image/png	etag:%220777f29d14dd210df4577f2c1bd013a4-ssl%22	https://mintconnectw.netlify.app/assets/hero-image.png	C:/Users/Sultan/Desktop/Blockchain/mintconnectw.netlify.app/assets/hero-image.png	(from https://mintconnectw.netlify.app/)
